City,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
louis trichardt,-23.0439,29.9032,64.9,91.0,98.0,10.31,ZA,1612922201.0
banda aceh,5.5577,95.3222,81.91,75.0,42.0,8.28,ID,1612922201.0
nome,64.5011,-165.4064,-0.4,42.0,1.0,16.11,US,1612922167.0
fairbanks,64.8378,-147.7164,-14.8,64.0,1.0,4.74,US,1612922111.0
toora-khem,52.4675,96.11,10.47,88.0,100.0,3.13,RU,1612921995.0
vila franca do campo,37.7167,-25.4333,62.01,94.0,75.0,21.85,PT,1612922202.0
yaan,7.3833,8.5667,73.58,68.0,31.0,5.73,NG,1612922202.0
porto novo,6.4965,2.6036,84.2,84.0,40.0,13.8,BJ,1612921989.0
negotino,41.4839,22.0892,35.6,93.0,20.0,2.3,MK,1612921910.0
buraydah,26.326,43.975,48.2,87.0,99.0,2.35,SA,1612922202.0
tuatapere,-46.1333,167.6833,52.23,91.0,100.0,12.53,NZ,1612922203.0
dongli,23.5656,116.8194,62.6,67.0,75.0,8.95,CN,1612922203.0
ahipara,-35.1667,173.1667,66.78,92.0,100.0,7.54,NZ,1612922203.0
codrington,-38.2667,141.9667,82.44,35.0,0.0,4.09,AU,1612922203.0
khani,41.9563,42.9566,44.6,81.0,0.0,8.05,GE,1612922203.0
sao filipe,14.8961,-24.4956,69.94,77.0,23.0,8.01,CV,1612922153.0
tasiilaq,65.6145,-37.6368,15.8,57.0,90.0,12.66,GL,1612922208.0
clyde river,70.4692,-68.5914,-2.2,92.0,75.0,9.22,CA,1612921912.0
bilma,18.6853,12.9164,64.31,24.0,0.0,7.29,NE,1612922209.0
upernavik,72.7868,-56.1549,9.7,75.0,0.0,2.17,GL,1612922209.0
khatanga,71.9667,102.5,-13.92,84.0,0.0,7.65,RU,1612922210.0
svetlogorsk,52.6333,29.7333,9.99,96.0,100.0,5.37,BY,1612922210.0
lenger,42.183,69.8839,35.6,100.0,40.0,3.6,KZ,1612922210.0
ostrovnoy,68.0531,39.5131,5.81,93.0,86.0,17.31,RU,1612922210.0
bethanien,-26.502,17.1583,77.85,34.0,0.0,5.64,NA,1612922210.0
bonavista,48.6499,-53.1147,30.0,93.0,100.0,14.97,CA,1612922021.0
coquimbo,-29.9533,-71.3436,60.8,88.0,40.0,6.91,CL,1612922211.0
axim,4.8699,-2.2405,79.7,87.0,10.0,7.34,GH,1612922211.0
saint george,37.1041,-113.5841,57.99,24.0,20.0,5.75,US,1612922211.0
yulara,-25.2406,130.9889,93.2,43.0,57.0,16.11,AU,1612921959.0
reconquista,-29.15,-59.65,66.34,86.0,97.0,4.61,AR,1612922211.0
hambantota,6.1241,81.1185,69.8,94.0,71.0,6.91,LK,1612922211.0
henties bay,-22.116,14.2845,66.99,90.0,15.0,11.52,NA,1612922211.0
cuamba,-14.8031,36.5372,69.19,95.0,100.0,1.81,MZ,1612922211.0
palana,59.1167,159.9667,29.23,96.0,47.0,35.03,RU,1612922212.0
salinopolis,-0.6136,-47.3561,79.38,86.0,100.0,7.27,BR,1612922212.0
constitucion,-35.3333,-72.4167,60.51,88.0,0.0,1.36,CL,1612922156.0
kloulklubed,7.0419,134.2556,84.2,70.0,90.0,9.22,PW,1612922212.0
mahon,39.8885,4.2658,57.2,88.0,20.0,16.11,ES,1612922212.0
santiago del estero,-27.7951,-64.2615,66.99,92.0,76.0,3.0,AR,1612922212.0
kavaratti,10.5669,72.642,81.03,68.0,0.0,11.5,IN,1612922212.0
knysna,-34.0363,23.0471,66.2,82.0,75.0,2.3,ZA,1612922213.0
san-pedro,4.7485,-6.6363,78.06,91.0,100.0,5.86,CI,1612922213.0
leesburg,39.1157,-77.5636,37.4,81.0,90.0,5.75,US,1612922070.0
kiruna,67.8557,20.2251,-9.4,84.0,72.0,5.75,SE,1612922213.0
clarence town,-32.5833,151.7833,73.99,68.0,75.0,10.36,AU,1612922213.0
bandarbeyla,9.4942,50.8122,72.91,70.0,99.0,17.16,SO,1612922213.0
mahebourg,-20.4081,57.7,77.0,83.0,40.0,3.44,MU,1612922214.0
warrnambool,-38.3833,142.4833,73.26,53.0,0.0,4.9,AU,1612922214.0
deputatskiy,69.3,139.9,-20.67,88.0,18.0,2.66,RU,1612921997.0
yar-sale,66.8333,70.8333,-20.18,86.0,89.0,13.42,RU,1612922214.0
tombouctou,20.0,-3.0,64.72,22.0,68.0,11.54,ML,1612922214.0
lata,40.1629,-8.3327,57.0,91.0,100.0,4.0,PT,1612922214.0
potosi,-19.5836,-65.7531,45.01,87.0,100.0,7.81,BO,1612922215.0
cedar city,37.6775,-113.0619,46.4,34.0,90.0,8.05,US,1612922215.0
koutiala,12.3917,-5.4642,74.37,20.0,0.0,8.46,ML,1612922215.0
tiksi,71.6872,128.8694,-13.68,82.0,100.0,4.05,RU,1612922004.0
nemuro,43.3236,145.575,23.0,54.0,20.0,6.91,JP,1612921996.0
tecpan,14.7623,-90.9947,66.2,88.0,20.0,6.91,GT,1612922215.0
colac,-38.3333,143.5833,75.99,58.0,0.0,3.89,AU,1612922216.0
awbari,26.5921,12.7805,55.81,36.0,0.0,7.49,LY,1612922216.0
ust-tsilma,65.441,52.1498,-10.53,90.0,100.0,3.04,RU,1612922216.0
harper,4.375,-7.7169,79.07,87.0,93.0,6.31,LR,1612922166.0
paragominas,-2.9667,-47.4833,73.02,98.0,100.0,2.21,BR,1612922216.0
dickinson,29.4608,-95.0513,64.4,94.0,90.0,10.36,US,1612922221.0
minab,27.1467,57.0801,55.4,71.0,0.0,4.61,IR,1612922221.0
urucara,-2.5364,-57.76,74.95,97.0,100.0,2.89,BR,1612922222.0
saint-pierre,-21.3393,55.4781,78.8,57.0,0.0,6.91,RE,1612921953.0
cabanas,22.9758,-82.9219,77.0,83.0,40.0,11.5,CU,1612922222.0
namibe,-15.1961,12.1522,70.61,78.0,97.0,1.74,AO,1612921994.0
ixtapa,20.7,-105.2,72.0,78.0,1.0,8.05,MX,1612922222.0
susehri,40.1644,38.0867,36.34,82.0,24.0,5.1,TR,1612922222.0
poopo,-18.3667,-66.9667,48.9,71.0,67.0,5.99,BO,1612922223.0
moroni,-11.7022,43.2551,80.74,78.0,100.0,16.44,KM,1612922223.0
plettenberg bay,-34.0527,23.3716,64.78,86.0,13.0,3.71,ZA,1612922223.0
puerto escondido,15.85,-97.0667,80.6,78.0,40.0,3.85,MX,1612922223.0
dabakala,8.3667,-4.4333,75.67,37.0,21.0,4.45,CI,1612922223.0
isangel,-19.55,169.2667,84.2,74.0,75.0,9.22,VU,1612922223.0
castro,-24.7911,-50.0119,57.69,91.0,100.0,6.55,BR,1612922224.0
sergeyevka,53.88,67.4158,-21.48,86.0,0.0,9.6,KZ,1612922224.0
antalaha,-14.9003,50.2788,74.82,93.0,100.0,4.5,MG,1612922224.0
kargasok,59.0556,80.8572,-10.57,89.0,100.0,8.08,RU,1612922224.0
luanda,-8.8368,13.2343,78.8,89.0,75.0,2.3,AO,1612922193.0
panama city,8.9936,-79.5197,80.6,69.0,75.0,5.75,PA,1612922039.0
berlevag,70.8578,29.0864,21.97,88.0,100.0,19.28,NO,1612922225.0
pacific grove,36.6177,-121.9166,55.4,76.0,1.0,6.91,US,1612922225.0
sokoni,-6.4333,39.55,81.55,78.0,100.0,16.96,TZ,1612922226.0
vidim,56.4088,103.1106,4.42,93.0,100.0,4.92,RU,1612922226.0
carepa,7.7585,-76.6525,75.81,87.0,4.0,4.52,CO,1612922173.0
blackfoot,43.1905,-112.345,37.4,38.0,20.0,13.8,US,1612922226.0
nabire,-3.3667,135.4833,88.63,55.0,0.0,4.34,ID,1612922227.0
longyearbyen,78.2186,15.6401,17.6,86.0,75.0,2.3,SJ,1612922227.0
harrisburg,40.2737,-76.8844,33.8,69.0,75.0,3.94,US,1612922167.0
labuhan,-6.8844,112.2051,82.89,76.0,96.0,8.08,ID,1612921933.0
liverpool,53.4106,-2.9779,32.0,74.0,75.0,9.22,GB,1612922161.0
waipawa,-41.4122,175.5153,68.0,64.0,75.0,27.63,NZ,1612922228.0
mahdalynivka,48.921,34.9156,26.6,86.0,40.0,4.47,UA,1612922228.0
komatipoort,-25.4332,31.9548,73.0,95.0,13.0,4.94,ZA,1612922229.0
sorland,67.667,12.6934,30.4,83.0,69.0,11.1,NO,1612922229.0
cody,44.5263,-109.0565,-8.0,77.0,20.0,5.75,US,1612922229.0
portland,45.5234,-122.6762,43.0,66.0,0.0,1.95,US,1612921784.0
avera,33.194,-82.5271,60.8,87.0,90.0,3.44,US,1612922229.0
souillac,-20.5167,57.5167,77.0,83.0,40.0,3.44,MU,1612922230.0
manaus,-3.1019,-60.025,77.0,94.0,75.0,11.5,BR,1612922230.0
iskitim,54.6366,83.3045,-4.0,65.0,75.0,17.9,RU,1612922230.0
bolama,11.5833,-15.4667,75.83,57.0,65.0,8.32,GW,1612922230.0
celestun,20.8667,-90.4,78.17,74.0,64.0,9.78,MX,1612922005.0
ilulissat,69.2167,-51.1,17.6,53.0,0.0,4.61,GL,1612922007.0
pokhara,28.2333,83.9833,58.78,39.0,100.0,0.83,NP,1612922231.0
saquena,-4.6667,-73.5167,75.51,93.0,100.0,1.05,PE,1612922236.0
bridlington,54.0831,-0.1919,33.01,62.0,81.0,8.99,GB,1612922236.0
dalvik,65.9702,-18.5286,21.2,93.0,90.0,2.3,IS,1612922236.0
coihueco,-36.6167,-71.8333,75.2,60.0,0.0,4.61,CL,1612922236.0
amapa,1.0,-52.0,72.54,97.0,100.0,3.4,BR,1612922236.0
cururupu,-1.8283,-44.8683,77.94,83.0,100.0,1.99,BR,1612922237.0
makushino,55.2103,67.2442,-18.11,88.0,99.0,9.95,RU,1612922237.0
chimbote,-9.0853,-78.5783,71.37,81.0,95.0,5.26,PE,1612922237.0
trinidad,-14.8333,-64.9,73.27,96.0,100.0,6.89,BO,1612921961.0
fez,34.0372,-4.9998,53.6,94.0,40.0,6.91,MA,1612922237.0
ler,8.3018,30.1418,71.71,27.0,63.0,6.42,SS,1612922237.0
oktyabrskiy,54.4815,53.471,-5.46,87.0,100.0,4.45,RU,1612922238.0
pedernales,18.0384,-71.744,76.17,57.0,70.0,9.37,DO,1612922238.0
teguise,29.0605,-13.564,59.0,94.0,0.0,3.44,ES,1612922238.0
bundaberg,-24.85,152.35,86.0,51.0,40.0,12.66,AU,1612922116.0
kaduqli,11.0167,29.7167,66.15,26.0,95.0,7.43,SD,1612922238.0
domodossola,46.1165,8.2931,42.01,80.0,100.0,2.91,IT,1612922238.0
dekar,-21.5333,21.9333,65.77,94.0,98.0,7.38,BW,1612922238.0
castleblayney,54.1167,-6.7333,35.01,68.0,71.0,7.0,IE,1612922239.0
corbelia,-24.7989,-53.3067,65.19,85.0,100.0,6.96,BR,1612922239.0
kaitangata,-46.2817,169.8464,57.0,90.0,100.0,7.0,NZ,1612921949.0
dunedin,-45.8742,170.5036,55.99,78.0,77.0,1.01,NZ,1612922239.0
raton,36.9034,-104.4391,50.0,13.0,1.0,18.41,US,1612922239.0
tilichiki,60.4667,166.1,14.88,94.0,100.0,10.27,RU,1612922240.0
aykhal,66.0,111.5,-16.51,86.0,100.0,9.55,RU,1612922240.0
totskoye,52.5248,52.7623,-2.69,89.0,100.0,10.09,RU,1612922240.0
college,64.8569,-147.8028,-14.8,69.0,20.0,4.43,US,1612922240.0
gurjaani,41.7429,45.8011,49.53,59.0,100.0,5.68,GE,1612922240.0
tura,25.5198,90.2201,65.75,37.0,74.0,2.01,IN,1612922240.0
haines junction,60.7522,-137.5108,-27.4,56.0,44.0,1.21,CA,1612922240.0
chapais,49.7834,-74.8492,-0.4,85.0,90.0,3.44,CA,1612922241.0
touros,-5.1989,-35.4608,80.6,78.0,40.0,10.36,BR,1612922241.0
los chiles,11.0333,-84.7167,74.48,86.0,53.0,5.26,CR,1612922241.0
ashqelon,31.6693,34.5715,55.99,82.0,0.0,2.3,IL,1612922241.0
zheleznodorozhnyy,55.7503,38.0042,8.6,78.0,100.0,8.95,RU,1612922241.0
mount gambier,-37.8333,140.7667,84.2,26.0,0.0,6.91,AU,1612922241.0
lasa,46.6166,10.7002,39.0,86.0,75.0,4.61,IT,1612922190.0
marzuq,14.4,46.4667,52.88,64.0,82.0,3.67,YE,1612922242.0
trairi,-3.2778,-39.2689,77.68,88.0,100.0,4.88,BR,1612922242.0
husavik,66.0449,-17.3389,21.2,93.0,90.0,2.3,IS,1612922242.0
paamiut,61.994,-49.6678,27.23,84.0,95.0,10.31,GL,1612922243.0
bambanglipuro,-7.95,110.2833,81.72,75.0,51.0,4.59,ID,1612922243.0
gbadolite,4.2833,21.0167,65.46,27.0,11.0,2.84,CD,1612922243.0
nantucket,41.2835,-70.0995,35.01,100.0,90.0,13.8,US,1612922243.0
charters towers,-20.1,146.2667,84.63,64.0,90.0,10.85,AU,1612922248.0
nago,26.5881,127.9761,68.0,64.0,75.0,13.8,JP,1612922248.0
cidreira,-30.1811,-50.2056,74.71,80.0,98.0,18.88,BR,1612922249.0
aljezur,37.3191,-8.8033,59.0,100.0,100.0,8.01,PT,1612922249.0
mayo,38.8876,-76.5119,39.99,65.0,90.0,8.05,US,1612922038.0
soe,-9.8607,124.284,77.79,72.0,100.0,5.77,ID,1612922249.0
saldanha,-33.0117,17.9442,64.4,82.0,0.0,10.36,ZA,1612922249.0
marawi,7.9986,124.2928,81.0,82.0,2.0,3.0,PH,1612922249.0
jablah,35.3614,35.9256,55.4,54.0,0.0,4.61,SY,1612922249.0
